date,petrol_sales,super_petrol_sales,diesel_sales,super_diesel_sales
2025-10-22,2119.588,45.137,3301.088,152.074
2025-10-23,2375.378,108.88,3518.179,87.859
2025-10-24,2128.921,78.564,2923.601,113.903
2025-10-25,2591.471,145.718,2642.185,148.018
2025-10-26,2657.103,66.707,2758.564,118.213
2025-10-27,2351.657,93.794,3293.344,209.587
2025-10-28,2469.504,1.493,3136.222,62.422
2025-10-29,2338.492,100.756,3393.919,3.195
2025-10-30,2280.684,122.239,3122.325,0
2025-10-31,2430.839,97.169,2623.405,0
,,,,
2025-11-01,3262.536,182.596,3404.027,0
2025-11-02,2697.421,138.851,2518.43,0
2025-11-03,2521.99,268.468,3240.336,0
2025-11-04,2352.274,99.859,2721.932,16.665
2025-11-05,2352.118,134.445,2628.155,0
2025-11-06,2157.015,172.824,3193.92,33.304
2025-11-07,2485.511,50.299,3680.042,49.056
2025-11-08,2551.112,64.33,2829.744,158.337
2025-11-09,2692.293,58.057,2627.503,118.179
2025-11-10,2458.628,269.546,2925.025,78.617
2025-11-11,2113.36,60.886,3196.686,125.692
2025-11-12,2481.788,103.043,3286.817,47.264
2025-11-13,2407.674,52.916,3548.073,47.17
2025-11-14,2279.299,128.349,3144.784,128.97
2025-11-15,2678.411,93.584,3156.077,184.338
2025-11-16,2442.061,136.038,2532.151,129.88
2025-11-17,2389.619,176.824,2883.438,100.56
2025-11-18,2155.717,19.1,2992.457,247.49
2025-11-19,2555.788,0,2992.214,106.915
2025-11-20,1995.49,0,2846.971,81.126
2025-11-21,2376.545,0,3260.306,15.723
2025-11-22,2762.282,0,2607.6,64.466
2025-11-23,2439.461,0,2912.592,118.91
2025-11-24,2249.134,0,2060.296,122.169
2025-11-25,2350.026,0,2754.139,62.894
2025-11-26,1765.659,0,2223.214,99.657
2025-11-27,1576.169,0,1557.833,167.284
2025-11-28,1317.126,0,1575.002,386.902
2025-11-29,3798.43,0,2462.212,1057.95
2025-11-30,3478.244,0,1415.753,160.064
,,,,
2025-12-01,3205.952,0,2774.676,707.379
2025-12-02,2466.085,0,2325.84,191.83
2025-12-03,2440.732,0,2878.917,125.31
2025-12-04,2194.957,0,2493.826,137.526
2025-12-05,2212.783,0,2295.099,229.553
2025-12-06,2625.292,0,2635.946,151.419
2025-12-07,2612.663,0,2608.444,213.842
2025-12-08,2291.519,0,2792.936,150.943
2025-12-09,2016.833,0,2508.246,77.518
2025-12-10,2304.355,0,3021.085,22.012
2025-12-11,2229.806,0,3198.876,0
2025-12-12,2286.796,0,2932.084,81.447
2025-12-13,2585.788,0,2696.041,40.881
2025-12-14,2434.371,0,2574.751,78.617
2025-12-15,2662.225,0,2284.371,69.185
2025-12-16,2129.723,0,2579.641,380.202
2025-12-17,2395.125,0,3107.023,72.327
2025-12-18,2340.403,0,2285.042,227.99
2025-12-19,2582.515,0,3515.466,97.484
2025-12-20,2798.945,0,2453.418,90.13
2025-12-21,2673.22,0,2175.801,72.326
2025-12-22,2400.344,0,3312.183,31.446
2025-12-23,2575.382,0,3159.581,147.8
2025-12-24,2496.41,0,3068.553,207.688
2025-12-25,2554.747,0,1868.832,94.339
2025-12-26,2881.831,0,2440.817,150.937
2025-12-27,2781.4,0,2421.071,234.966
2025-12-28,2600.369,0,2281.087,139.471
2025-12-29,2633.419,0,2889.186,75.948
2025-12-30,2187.803,0,3741.106,162.269
2025-12-31,2934.949,0,2732.119,178.48
,,,,
2026-01-01,2439.441,0,1823.418,108.491
2026-01-02,2592.749,41.64,2097.747,25.157
2026-01-03,2692.867,145.204,2228.017,207.863
2026-01-04,2693.247,85.827,2555.24,155.662
2026-01-05,2482.568,35.669,,
2026-01-06,2485.494,122.278,2951.522,246.99
2026-01-07,2072.191,61.765,2847.012,208.385
2026-01-08,2163.036,129.849,2799.455,179.615
2026-01-09,2019.13,133.777,3100.995,71.198
2026-01-10,2640.983,84.693,2403.829,45.758
2026-01-11,2311.716,28.376,2514.022,51.516
2026-01-12,2614.281,92.067,2674.663,319.142
2026-01-13,2739.817,113.289,2678.962,75.23
2026-01-14,2657.27,154.949,2808.471,164.399
2026-01-15,2136.465,79.33,2674.363,58.823
2026-01-16,2296.229,92.568,3079.826,146.065
2026-01-17,2611.713,117.936,2331.613,209.872
2026-01-18,2494.561,54.987,2476.94,197.599
2026-01-19,2393.4,60.296,2988.278,231.58
2026-01-20,2355.538,162.782,3934.647,207.119
2026-01-21,2397.699,83.24,3631.748,106.19
2026-01-22,2087.244,79.943,3448.37,97.399
2026-01-23,2470.5,175.531,3130.239,77.401
2026-01-24,3131.498,71.95,3050.317,147.077
2026-01-25,2645.689,212.797,2157.989,105.698
2026-01-26,2461.545,39.567,3396.553,79.75
2026-01-27,2377.228,104.413,3398.365,133.592
2026-01-28,2416.47,207.791,3527.257,174.007
2026-01-29,2260.503,159.26,3333.498,175.99
2026-01-30,2531.899,99.817,3411.868,111.22
2026-01-31,2871.027,173.716,2556.178,179.567
